book_title,author,reader_review,rating,label,review_length
le démon de la colline aux loups,dimitri rouchon borie,ce n est pas le premier roman à aborder les thèmes lourds de l inceste et de l enfance martyre mais il le fait avec une audace et un brio incomparables qui rendent ce livre marquant dans une vie de lecteur on y sent à quel point l auteur n a pas cherché à faire quelque chose on ne sent jamais l intention on sent juste l urgence incandescente à raconter la vérité d un homme maltraité par la vie au point de dire à la nuit tu ne me feras pas peur j ai plus de noir que toi dans mon enfance,5.0,1,490
simple,marie aude murail,simple alias barnabé est un jeune homme de 22 ans qui a l âge mental d un enfant de 3 ans kléber son frère de 17 ans entre en terminale au lycée mais décide de s occuper lui même de son frère leur mère étant morte et leur père refusant de s encombrer de sa progéniture afin de vivre pleinement sa nouvelle vie kléber refuse d abandonner son frère à malicroix l institution où il dépérissait se mettant tant bien que mal à la recherche d un appartement pour vivre avec son frère kléber tombe sur un logement en colocation où d autres étudiants vont vite découvrir que vivre avec simple n est pas toujours aisé,4.0,1,608
la plus secrète mémoire des hommes,mohamed mbougar sarr,pour écrire la plus secrète mémoire des hommes mohamed mbougar sarr s est inspiré du destin brisé de yambo ouologuem premier écrivain africain à remporter le prix renaudot en 1968 avec le devoir de violence à 28 ans il a connu la gloire puis l opprobre finissant sa vie reclus honni par ses pairs,4.0,1,296
trancher,amélie cordonnier,la violence d aurélien est revenue par la fenêtre peut être bien c est une surprise qui te foudroie depuis l épisode des miettes ses mots te fauchent comme une gifle t écorchent et t humilient sa main ne se lève pas mais de sa bouche les torgnoles tombent de nouveau et c est une claque au coeur chaque fois tu tournes le thermostat de la douche à fond mais cela ne suffit pas ça fait des jours que tu as froid il y a en toi quelque chose de glacé que rien ne parvient à réchauffer et dans ta tête la phrase assassine qui a tué tes pauvres rêves de paix et de petits bonheurs tranquilles n en finit plus de tourner ferme ta gueule une bonne fois pour toutes connasse si tu veux pas que je la réduise en miettes,3.5,0,710
la guerre d alan tome 2,emmanuel guibert,dans ce second album de la guerre d alan emmanuel guibert m a fait suivre à nouveau les pas de cet homme alan cope jeune soldat étasunien de vingt ans qui vient de débarquer en france,5.0,1,183
les serviteurs inutiles,bernard bonnelle,evocation des guerres de religion les serviteurs inutiles romancent la vie des feuillades une famille périgourdine dans la seconde moitié du xvi siècle endeuillée par les massacres de la saint barthélémy 24 aout 1572,4.0,1,216
l hôtel du cygne,zhang yueran,voilà un roman au sujet atypique nous venant de la chine communiste où les nouveaux milliardaires donnent lieu à de nouveaux conflits de classe avec le monde des domestiques qu ils ont à leur service,4.0,1,199
la plus secrète mémoire des hommes,mohamed mbougar sarr,trois livres composent ce grand livre chaque livre se divise en plusieurs parties complétées par ce que mohamed mbouga sarr l auteur appelle des biographèmes le tout étant un formidable hommage à yambo ouologuem écrivain malien 1940 2017 lauréat du prix renaudot en 1968 avec le devoir de violence premier romancier africain à recevoir une telle récompense il fut accusé ensuite de plagiat meurtrissure qu il ne surmontera jamais vraiment,5.0,1,438
peer gynt tome 1 bd,antoine carrion,il est temps de venir à bout,4.5,1,28
dans la forêt,hegland jean,c est incroyable comme l espoir plane tout près du désespoir,4.5,1,60
choses qui tombent du ciel,selja ahava,jamais parfois ou souvent la vie nous joue des tours un événement un accident perturbe notre trajectoire un concours de circonstance nous entraîne en des lieux inconnus hasard heureux ou malheureux le fait est que rien n est plus comme avant et pourtant la vie continue malgré l irruption l intrusion d événements exceptionnels incongrus inhabituels,3.5,0,349
